Timestamp,Month,Day,Hour,Total Hours,PVoption1,PVoption2,PVoption3,PVoption4,Load,Emission_factor,Tou_Tariff,FiT,H2_Tariff
26/01/2023,1,4,9,609,0,0,0,0,1698.94,18,0.1255563,0.06277815,2.553081264
23/01/2023,1,1,11,539,10.0296,20.0592,30.0888,40.1184,895,18,0.2155995,0.10779975,4.22962808
29/01/2023,1,0,22,694,0,0,0,0,1763.735,18,0.079677,0.0398385,4.800264784
15/01/2023,1,0,14,350,137.294,274.587,411.881,549.174,1551,18,0.0934425,0.04672125,4.864899792
08/01/2023,1,0,6,174,0,0,0,0,1874.835,18,0.0222885,0.01114425,5.760576064
04/01/2023,1,3,9,81,0,0,0,0,1437,18,0.1186632,0.0593316,5.760576064
15/01/2023,1,0,19,355,0,0,0,0,1848,18,0.0974511,0.04872555,3.366739728
18/01/2023,1,3,16,424,0,0,0,0,882,18,0.1385757,0.06928785,3.68120264
22/01/2023,1,0,19,523,0,0,0,0,897,18,0.1848294,0.0924147,5.760576064
26/01/2023,1,4,17,617,0,0,0,0,1620,18,0.1301382,0.0650691,5.760576064
28/01/2023,1,6,14,662,715.045,1430.09,2145.13,2860.18,3234,18,0.1040382,0.0520191,5.3793716
16/01/2023,1,1,7,367,0,0,0,0,1612,18,0.1345374,0.0672687,5.416860352
12/01/2023,1,4,11,275,128.176,256.352,384.528,512.704,923,18,0.1007316,0.0503658,3.083028144
05/01/2023,1,4,5,101,0,0,0,0,1448,18,0.0976914,0.0488457,5.009278144
22/01/2023,1,0,22,526,0,0,0,0,883,18,0.1328481,0.06642405,3.44825624
16/01/2023,1,1,22,382,0,0,0,0,5131,18,0.1187451,0.05937255,2.72934888
13/01/2023,1,5,12,300,350.52,701.04,1051.56,1402.08,884,18,0.0890703,0.04453515,5.760576064
11/01/2023,1,3,10,250,0,0,0,0,873,18,0.1226322,0.0613161,3.33063224
07/01/2023,1,6,21,165,0,0,0,0,1865,18,0.0724482,0.0362241,2.511397088
26/01/2023,1,4,3,603,0,0,0,0,1480,18,0.1036926,0.0518463,4.964753472
02/01/2023,1,1,15,39,0,0,0,0,1143,18,0.147105,0.0735525,4.580990464
05/01/2023,1,4,13,109,154.083,308.166,462.248,616.331,1785,18,0.1377783,0.06888915,5.760576064
31/01/2023,1,2,10,730,126.734,253.468,380.202,506.936,1337.0425,18,0.1056222,0.0528111,5.760576064
19/01/2023,1,4,14,446,528.34,1056.68,1585.02,2113.36,866,18,0.1490067,0.07450335,4.968689104
16/02/2023,2,4,0,1104,0,0,0,0,904,18,0.089352,0.044676,2.784072368
07/02/2023,2,2,13,901,864.986,1729.97,2594.96,3459.94,3214,18,0.120672,0.060336,2.266193888
21/02/2023,2,2,0,1224,0,0,0,0,1504,18,0.0514098,0.0257049,4.954544192
27/02/2023,2,1,14,1382,415.203,830.406,1245.61,1660.81,2814.299,18,0.1064412,0.0532206,2.917878528
12/02/2023,2,0,10,1018,1590,3173.44,4760.16,6346.88,3071,18,0.0974736,0.0487368,3.589053712
16/02/2023,2,4,1,1105,0,0,0,0,849,18,0.0899703,0.04498515,3.681535136
13/02/2023,2,1,21,1053,0,0,0,0,1269.0975,18,0.1004715,0.05023575,2.471307584
09/02/2023,2,4,6,942,0,0,0,0,1833.8575,18,0.0863289,0.04316445,5.287459504
23/02/2023,2,4,15,1287,1510,3011.48,4517.22,6022.95,1584,18,0.1058229,0.05291145,1.97486512
04/02/2023,2,6,17,833,0,0,0,0,1370,18,0.1158858,0.0579429,2.488393856
04/02/2023,2,6,8,824,0,0,0,0,1033,18,0.1152234,0.0576117,2.553789776
12/02/2023,2,6,23,1007,0,0,0,0,1559,18,0.0902043,0.04510215,2.844136208
15/02/2023,2,3,17,1097,0,0,0,0,1161,18,0.1003086,0.0501543,2.683155232
10/02/2023,2,5,4,964,0,0,0,0,930,18,0.0871353,0.04356765,2.249062976
09/02/2023,2,4,18,954,0,0,0,0,864,18,0.0891342,0.0445671,2.103434144
03/02/2023,2,5,14,806,8.98055,17.9611,26.9416,35.9222,1177,18,0.0990495,0.04952475,5.760576064
03/02/2023,2,5,5,797,0,0,0,0,912,18,0.0906966,0.0453483,3.556688048
26/02/2023,2,0,1,1345,0,0,0,0,1409,18,0.0982287,0.04911435,4.651889328
13/02/2023,2,1,10,1042,929.195,1858.39,2787.59,3716.78,820,18,0.0988218,0.0494109,2.633702944
07/02/2023,2,2,10,898,116.596,233.193,349.789,466.386,893,18,0.1233198,0.0616599,5.205563152
05/02/2023,2,0,12,852,2.17884,4.35768,6.53653,8.71537,3241.36,18,0.104112,0.052056,5.1835232
26/02/2023,2,0,10,1354,2020,4044.2,6066.3,8088.4,1623,18,0.0981108,0.0490554,2.117949504
16/02/2023,2,3,23,1103,0,0,0,0,940,18,0.091431,0.0457155,4.567337568
14/02/2023,2,2,21,1077,0,0,0,0,1402,18,0.0989685,0.04948425,2.346985072
26/03/2023,3,0,8,2024,5.47834,10.9567,16.435,21.9134,3515,18,0.0809028,0.0404514,3.384186912
23/03/2023,3,4,10,1954,1940,3889.87,5834.8,7779.73,904,18,0.0745974,0.0372987,3.6854544
29/03/2023,3,3,21,2109,0,0,0,0,1247,18,0.1130958,0.0565479,1.705227088
15/03/2023,3,3,13,1765,2810,5627.65,8441.48,11255.3,1497,18,0.0960021,0.04800105,2.81488176
08/03/2023,3,3,5,1589,0,0,0,0,3980,18,0.1154538,0.0577269,2.325800704
04/03/2023,3,6,8,1496,819.17,1638.34,2457.51,3276.68,1137.605,18,0.1003095,0.05015475,3.808261552
15/03/2023,3,3,18,1770,0,0,0,0,842,18,0.1139013,0.05695065,4.17487704
18/03/2023,3,6,15,1839,2040,4074.55,6111.83,8149.1,899,18,0.0941922,0.0470961,3.602783936
22/03/2023,3,3,18,1938,15.523,31.046,46.569,62.092,896,18,0.089316,0.044658,2.163676592
26/03/2023,3,0,16,2032,90.9483,181.897,272.845,363.793,1045,18,0.0785844,0.0392922,4.288966928
28/03/2023,3,2,13,2077,167.756,335.511,503.267,671.022,875,18,0.0935037,0.04675185,3.881575744
16/03/2023,3,4,6,1782,0,0,0,0,899,18,0.1106253,0.05531265,3.251748944
12/03/2023,3,0,10,1690,1360,2712.13,4068.19,5424.25,1642.3025,18,0.0961254,0.0480627,2.944171248
05/03/2023,3,0,4,1516,0,0,0,0,3435,18,0.1024758,0.0512379,5.760576064
22/03/2023,3,3,21,1941,0,0,0,0,1045,18,0.0898056,0.0449028,2.230164672
16/03/2023,3,4,21,1797,0,0,0,0,1712,18,0.0959661,0.04798305,3.324747744
13/03/2023,3,1,11,1715,1260,2519.89,3779.84,5039.78,1546,18,0.0918252,0.0459126,2.678280976
11/03/2023,3,6,9,1665,382.104,764.208,1146.31,1528.42,1099,18,0.1080999,0.05404995,4.039822416
07/03/2023,3,2,20,1580,0,0,0,0,3021.5425,18,0.1136268,0.0568134,4.949500384
26/03/2023,3,0,2,2018,0,0,0,0,3663,18,0.07801965,0.039009825,2.26994928
02/03/2023,3,4,14,1454,2150,4295.04,6442.56,8590.08,1549,18,0.1068984,0.0534492,1.8235476
05/03/2023,3,0,12,1524,2710,5413.84,8120.76,10827.7,4353,18,0.1065654,0.0532827,4.838458128
31/03/2023,3,5,9,2145,116.727,233.453,350.18,466.907,1145,18,0.1307772,0.0653886,4.936368928
19/03/2023,3,0,13,1861,449.789,899.577,1349.37,1799.15,1369,18,0.0940995,0.04704975,5.076085536
15/04/2023,4,6,3,2499,0,0,0,0,1749,19,0.1053468,0.0526734,3.984095472
13/04/2023,4,4,1,2449,0,0,0,0,890,19,0.0906291,0.04531455,4.332643856
03/04/2023,4,1,5,2213,0,0,0,0,2230,19,0.1067337,0.05336685,3.88255088
09/04/2023,4,0,5,2357,0,0,0,0,3955,19,0.1094895,0.05474475,1.698146816
19/04/2023,4,3,20,2612,0,0,0,0,8038,19,0.1098783,0.05493915,3.467086656
03/04/2023,4,1,16,2224,528.479,1056.96,1585.44,2113.91,868,19,0.0927972,0.0463986,5.682359728
03/04/2023,4,1,14,2222,662.993,1325.99,1988.98,2651.97,835,19,0.0818388,0.0409194,5.421780416
07/04/2023,4,5,0,2304,0,0,0,0,935,19,0.1015524,0.0507762,5.475317744
13/04/2023,4,4,3,2451,0,0,0,0,1110,19,0.0778698,0.0389349,5.760576064
17/04/2023,4,1,5,2549,0,0,0,0,810,19,0.1081566,0.0540783,4.795091376
30/04/2023,4,0,9,2865,1780,3556.77,5335.16,7113.55,1372,19,0.0910233,0.04551165,4.250972976
19/04/2023,4,3,15,2607,2280,4568.56,6852.84,9137.11,8288,19,0.0873603,0.04368015,3.98115176
02/04/2023,4,0,14,2198,1860,3713.55,5570.32,7427.1,4135,19,0.0878472,0.0439236,2.442754336
05/04/2023,4,3,4,2260,0,0,0,0,891,19,0.1109043,0.05545215,5.426184544
18/04/2023,4,2,21,2589,0,0,0,0,1753.51,19,0.1039257,0.05196285,2.228244736
14/04/2023,4,5,15,2487,69.8036,139.607,209.411,279.214,1951.2825,19,0.1062981,0.05314905,5.142712016
04/04/2023,4,2,13,2245,442.08,884.16,1326.24,1768.32,890,19,0.1071063,0.05355315,5.760576064
27/04/2023,4,4,2,2786,0,0,0,0,1059,19,0.1000935,0.05004675,5.473768288
11/04/2023,4,2,18,2418,13.4364,26.8728,40.3091,53.7455,900,19,0.1021905,0.05109525,5.195830832
09/04/2023,4,0,20,2372,0,0,0,0,2536,19,0.110394,0.055197,5.597188528
19/04/2023,4,3,13,2605,2990,5979.04,8968.56,11958.1,8253,19,0.0886905,0.04434525,4.700302096
16/04/2023,4,0,6,2526,334.539,669.078,1003.62,1338.16,937,19,0.1029618,0.0514809,3.112460224
02/04/2023,4,0,8,2192,715.943,1431.89,2147.83,2863.77,5396,19,0.0903267,0.04516335,5.391583072
29/04/2023,4,6,13,2845,2570,5130.26,7695.39,10260.5,922,19,0.0927072,0.0463536,1.670802768
26/05/2023,5,5,8,3488,2160,4319.91,6479.87,8639.83,1223,15,0.0717579,0.03587895,1.454285264
23/05/2023,5,2,10,3418,3040,6085.83,9128.75,12171.7,1423,15,0.0639558,0.0319779,3.435069152
29/05/2023,5,1,21,3573,0,0,0,0,1491,15,0.0700758,0.0350379,2.357185744
15/05/2023,5,1,13,3229,333.27,666.539,999.809,1333.08,841,15,0.0874557,0.04372785,5.464317136
08/05/2023,5,1,5,3053,0,0,0,0,1790,15,0.0921573,0.04607865,4.641413744
04/05/2023,5,4,8,2960,2190,4370.49,6555.73,8740.98,848,15,0.1255347,0.06276735,3.914108656
15/05/2023,5,1,18,3234,4.47966,8.95932,13.439,17.9186,1073,15,0.0838332,0.0419166,4.723707008
18/05/2023,5,4,15,3303,590.473,1180.95,1771.42,2361.89,1226,15,0.056898,0.028449,3.499179248
22/05/2023,5,1,18,3402,292.356,584.712,877.069,1169.42,1696,15,0.0756468,0.0378234,5.679562512
26/05/2023,5,5,16,3496,1900,3793.3,5689.95,7586.6,1695,15,0.0238878,0.0119439,4.625239024
28/05/2023,5,0,13,3541,1600,3205.15,4807.73,6410.31,1166,15,-0.0042435,-0.00212175,3.351143184
16/05/2023,5,2,6,3246,147.318,294.635,441.953,589.27,855,15,0.0798876,0.0399438,3.42862288
12/05/2023,5,5,10,3154,560.58,1121.16,1681.74,2242.32,813,15,0.0853596,0.0426798,1.872597792
05/05/2023,5,5,4,2980,0,0,0,0,1582,15,0.0813159,0.04065795,5.26471984
22/05/2023,5,1,21,3405,0,0,0,0,1357,15,0.0768663,0.03843315,3.648216944
16/05/2023,5,2,21,3261,0,0,0,0,860,15,0.0521046,0.0260523,5.204006288
13/05/2023,5,6,11,3179,1170,2337.81,3506.71,4675.61,1375,15,0.04095,0.020475,1.734604624
11/05/2023,5,4,9,3129,472.297,944.594,1416.89,1889.19,3130.795,15,0.09135,0.045675,3.409408528
07/05/2023,5,0,20,3044,0,0,0,0,1399,15,0.0995193,0.04975965,2.56315824
26/05/2023,5,5,2,3482,0,0,0,0,2484.865,15,0.06201,0.031005,2.590054016
02/05/2023,5,2,14,2918,2800,5603.12,8404.68,11206.2,852,15,0.1062909,0.05314545,3.581632784
05/05/2023,5,5,12,2988,3140,6280.2,9420.3,12560.4,1343,15,0.0826578,0.0413289,2.5894804
31/05/2023,5,3,9,3609,1130,2263.64,3395.47,4527.29,1404,15,0.0686142,0.0343071,2.51093552
19/05/2023,5,5,13,3325,798.98,1597.96,2396.94,3195.92,904,15,0.0612207,0.03061035,3.154617952
15/06/2023,6,4,3,3963,0,0,0,0,946,14,0.0758754,0.0379377,2.264307376
13/06/2023,6,2,1,3913,0,0,0,0,1676.1075,14,0.065601,0.0328005,3.891188416
03/06/2023,6,6,5,3677,264.337,528.673,793.01,1057.35,5968,14,0.0583614,0.0291807,4.993794368
09/06/2023,6,5,5,3821,268.168,536.337,804.506,1072.67,1648,14,0.0597087,0.02985435,2.256224128
19/06/2023,6,1,20,4076,20.6394,41.2788,61.9182,82.5576,2096.645,14,0.0876618,0.0438309,3.598511424
03/06/2023,6,6,16,3688,1990,3976.38,5964.57,7952.76,3065,14,0.0288027,0.01440135,2.201114176
03/06/2023,6,6,14,3686,2550,5104.11,7656.17,10208.2,3033,14,0.0019935,0.00099675,4.879857008
07/06/2023,6,3,0,3768,0,0,0,0,1353,14,0.0597609,0.02988045,1.599943456
13/06/2023,6,2,3,3915,0,0,0,0,1155.1075,14,0.0650475,0.03252375,5.200500768
17/06/2023,6,6,5,4013,360.879,721.758,1082.64,1443.52,1888,14,0.0815625,0.04078125,5.290271152
30/06/2023,6,5,9,4329,377.268,754.536,1131.8,1509.07,912,14,0.073008,0.036504,2.242964816
19/06/2023,6,1,15,4071,2590,5189.57,7784.35,10379.1,1626,14,0.0886005,0.04430025,4.01695784
02/06/2023,6,5,14,3662,1270,2546.76,3820.14,5093.52,5000,14,0.0408852,0.0204426,2.71990952
05/06/2023,6,1,4,3724,0,0,0,0,1119,14,0.0540315,0.02701575,1.674922736
18/06/2023,6,0,21,4053,0,0,0,0,1840,14,0.0834183,0.04170915,3.717128592
14/06/2023,6,3,15,3951,2600,5201.1,7801.65,10402.2,1537,14,0.073305,0.0366525,5.45649168
04/06/2023,6,0,13,3709,297.986,595.972,893.959,1191.94,4365,14,0.019377,0.0096885,4.551958336
27/06/2023,6,2,2,4250,0,0,0,0,2925.21,14,0.0642006,0.0321003,2.649137296
11/06/2023,6,0,18,3882,641.723,1283.45,1925.17,2566.89,1299.265,14,0.0642366,0.0321183,5.010595968
09/06/2023,6,5,20,3836,58.3959,116.792,175.188,233.583,1358,14,0.0624735,0.03123675,3.458840352
19/06/2023,6,1,13,4069,901.958,1803.92,2705.87,3607.83,1482,14,0.0899973,0.04499865,3.957241024
16/06/2023,6,5,6,3990,780.663,1561.33,2341.99,3122.65,1062,14,0.0821493,0.04107465,2.262367888
